ID,Mã Tài Sản (Asset Tag),Mã SpeedMaint,Tên Thiết Bị Y Tế,Model,Số Serial (S/N),Khoa / Phòng Ban,Mã Khoa,Nhóm Chuyên Khoa,Mức Rủi Ro (NĐ98),Hãng Sản Xuất,Xuất Xứ,Năm Sản Xuất,Trạng Thái Vận Hành,Ngày Đưa Vào SD,Ngày Kiểm Định,Hạn Kiểm Định,Số Giấy Chứng Nhận,Số Tem KĐ,Ghi Chú
1,BVQ7-TTB-00001,BM/BVQ7/00001,"Cảm biến đo nồng độ bão hòa Oxy trong máu (SpO2), kiểu kẹp tay",N/A,GEN-4163622025003671671,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức A,,,,IN_SERVICE,,,,,,
2,BVQ7-TTB-00002,BM/BVQ7/00002,Máy theo dõi bệnh nhân (Monitor),B125M,SR724460006SA,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Theo dõi bệnh nhân & Điện tim,Mức B,GE Healthcare,Mexico,,IN_SERVICE,,,,,,
3,BVQ7-TTB-00003,BM/BVQ7/00003,Máy điều trị da,VirtueRF,26003,Khoa Da Liễu - Thẩm Mỹ Da,KDL,Thiết bị y tế khác,Mức A,SHENB,Hàn Quốc Năm sản xuất: 2026,,IN_SERVICE,,,,,,
4,BVQ7-TTB-00004,BM/BVQ7/00004,Máy cạo vôi răng siêu âm,N/A,GEN-2767195677017204519,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
5,BVQ7-TTB-00005,BM/BVQ7/00005,Ống nội soi mềm,N/A,2201500,Khoa Nội Soi Tiêu Hóa,NSTH,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
6,BVQ7-TTB-00006,BM/BVQ7/00006,Ống nội soi mềm,GIF-EZ 1500,2305038,Khoa Nội Soi Tiêu Hóa,NSTH,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
7,BVQ7-TTB-00007,BM/BVQ7/00007,Ống nội soi mềm,N/A,2201504,Khoa Nội Soi Tiêu Hóa,NSTH,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
8,BVQ7-TTB-00008,BM/BVQ7/00008,Ống nội soi mềm,N/A,2201502,Khoa Nội Soi Tiêu Hóa,NSTH,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
9,BVQ7-TTB-00009,BM/BVQ7/00009,Máy chụp X-Quang kỹ thuật số,Revolution Maxima,TAIXX2400044CN,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
10,BVQ7-TTB-00010,BM/BVQ7/00010,Máy chụp X-Quang kỹ thuật số,Revolution ACT,CE6XG2400136HM,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
11,BVQ7-TTB-00011,BM/BVQ7/00011,Máy chụp X-Quang kỹ thuật số,DigiRAD-FP,DE501T0263005,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
12,BVQ7-TTB-00012,BM/BVQ7/00012,Máy chụp X-Quang kỹ thuật số,DigiRAD-FP,OE51TFR1223001,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
13,BVQ7-TTB-00013,BM/BVQ7/00013,Máy chụp X-Quang kỹ thuật số,DigiRAD-FP,DE501T0263004,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
14,BVQ7-TTB-00014,BM/BVQ7/00014,Máy chụp X-Quang kỹ thuật số,DigiRAD-FP,OE51TFR1223003,Khoa Chẩn Đoán Hình Ảnh,CDHA,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
